B1,B2,B3,B4,B5,B6,B7,EVI,NBR,NDMI,NDWI,NDBI,NDBaI,elevation,classvalue,sample
0.028524999999999995,0.029982499999999995,0.04144999999999999,0.03927749999999999,0.18315750000000003,0.157885,0.08520250000000001,0.30126795112457255,0.3650134148159189,0.07410366743147857,-0.6309117015237694,-0.07410366743147857,0.29899727464390385,1889,1,train
0.028249999999999997,0.03058749999999999,0.043484999999999996,0.04013,0.1909675,0.1672075,0.0904275,0.3136328808480953,0.3572913520140728,0.06633628812731207,-0.6290506605815678,-0.06633628812731207,0.29801851456517947,1892,1,train
0.028085,0.03064249999999999,0.0443925,0.04065250000000001,0.1890425,0.170535,0.09372750000000002,0.30833933326476265,0.33707606888991043,0.05147012813649355,-0.6196585773341615,-0.05147012813649355,0.2906485029090392,1895,1,train
0.029459999999999986,0.031247499999999984,0.0444475,0.041614999999999985,0.18544,0.1701225,0.09507500000000002,0.29944233874199866,0.32213963602659385,0.04307962735102826,-0.6133108585721276,-0.04307962735102826,0.2829872076471308,1897,1,train
0.029102500000000003,0.03226499999999999,0.04403499999999999,0.0448325,0.18577,0.1695175,0.09713749999999999,0.2905262919208181,0.3132914468510026,0.04574464342258032,-0.6167620373795175,-0.04574464342258032,0.2714368753632972,1900,1,train
0.030670000000000003,0.033007499999999995,0.04576749999999999,0.0447775,0.1820025,0.1683075,0.09763250000000001,0.28514611595561096,0.30171473527991843,0.03909394536267881,-0.5981253018395751,-0.03909394536267881,0.26575543355644127,1905,1,train
0.030972499999999986,0.03339249999999999,0.0444475,0.045685,0.18123250000000002,0.1736975,0.09724749999999999,0.2812425110408655,0.30158359666762435,0.021229538218803745,-0.606101559730592,-0.021229538218803745,0.2821605860968094,1908,1,train
0.02750749999999999,0.029734999999999984,0.0415325,0.03944249999999999,0.1771625,0.15961750000000002,0.0891075,0.2891321417024618,0.33069816351823333,0.05209632400973922,-0.6201787878095064,-0.05209632400973922,0.2834857774650719,1912,1,train
0.02833250000000001,0.030395000000000005,0.04230249999999999,0.04037750000000001,0.17116750000000003,0.1610475,0.091775,0.27581887352695555,0.3019386367741998,0.030462200683292497,-0.6036679627113881,-0.030462200683292497,0.27399657862729787,1918,1,train
0.02814,0.029927499999999996,0.04200000000000001,0.039002499999999996,0.17452250000000002,0.1530725,0.0864125,0.2861290135284214,0.3376703010328243,0.06547718982279957,-0.6120495560507568,-0.06547718982279957,0.27834728688644383,1926,1,train
0.028689999999999993,0.03198999999999999,0.045107499999999995,0.04299,0.1952025,0.174275,0.09955750000000002,0.31365460026747055,0.3244843262315103,0.056640796800887704,-0.6245890724480879,-0.056640796800887704,0.27285840796837474,1926,1,train
0.03325500000000001,0.03628000000000001,0.051102499999999995,0.05143249999999999,0.20276500000000003,0.19655,0.1201275,0.30528803479495836,0.25592883080282147,0.015564153613062433,-0.59740809674338,-0.015564153613062433,0.24132595463839396,1932,1,train
0.0352075,0.03971749999999999,0.05566749999999998,0.05781249999999999,0.2219875,0.210575,0.122135,0.322929626223833,0.2901655660411627,0.026383470596734557,-0.5990167654103115,-0.026383470596734557,0.2658170779357399,1933,1,train
0.03176999999999999,0.037847500000000006,0.050002500000000005,0.05398999999999998,0.213105,0.20917249999999998,0.12026500000000001,0.3174202609144074,0.27848936616972125,0.009312596574527427,-0.6199082124226789,-0.009312596574527427,0.2698766837412255,1932,1,train
0.03176999999999999,0.037847500000000006,0.050002500000000005,0.05398999999999998,0.213105,0.20917249999999998,0.12026500000000001,0.3174202609144074,0.27848936616972125,0.009312596574527427,-0.6199082124226789,-0.009312596574527427,0.2698766837412255,1932,1,train
0.033172499999999994,0.034272499999999984,0.0476375,0.04683999999999999,0.1838725,0.17922500000000002,0.1050025,0.28362456599692637,0.2730246646473388,0.012799592395981715,-0.5884627013951881,-0.012799592395981715,0.2611376450202743,1889,1,train
0.02803,0.0294325,0.042660000000000003,0.03969,0.18324000000000001,0.16091,0.08575250000000001,0.2989040185984723,0.3624171677649005,0.06488449803864599,-0.6223107569721116,-0.06488449803864599,0.30469771448842037,1891,1,train
0.028524999999999995,0.03006500000000001,0.04288,0.039415000000000006,0.18761250000000002,0.16443000000000002,0.09114250000000002,0.3091015463680999,0.3460745098742623,0.06585142418884081,-0.6279271559812142,-0.06585142418884081,0.2867581606002211,1892,1,train
0.02901999999999999,0.031494999999999995,0.044694999999999985,0.041559999999999986,0.18929,0.1691875,0.09441500000000003,0.3071469411092053,0.33441426834211585,0.056077438611907365,-0.6179669636942541,-0.056077438611907365,0.2836562627440937,1896,1,train
0.03058749999999999,0.0322375,0.045520000000000005,0.0417525,0.1926175,0.17127750000000003,0.09732999999999997,0.313948564168889,0.3286370808508438,0.05864328996001585,-0.6176998582751562,-0.05864328996001585,0.2752994611096118,1897,1,train
0.031164999999999998,0.0324575,0.049177499999999985,0.04378750000000001,0.18582500000000002,0.16778500000000002,0.09666999999999998,0.29465457242284215,0.3155985061682509,0.05101665676875654,-0.5814725375261967,-0.05101665676875654,0.2689115350437694,1900,1,train
0.028882500000000005,0.03146750000000001,0.043842500000000006,0.04070750000000001,0.182965,0.1648425,0.09243499999999999,0.29855828610344787,0.328721859114016,0.0521049718594337,-0.6133946187846521,-0.0521049718594337,0.28143735849423296,1904,1,train
0.026737499999999997,0.028882500000000005,0.040679999999999994,0.036197499999999994,0.17498999999999998,0.15411750000000002,0.08726499999999998,0.2951634598514533,0.3345026786905875,0.0634215264009479,-0.6227569898455975,-0.0634215264009479,0.27695669735792794,1909,1,train
